id,transaction_hash,from_address,to_address,amount,dex,function_called,block_number,timestamp
9575,0x3fb0dbc98ce52348f09ca1bebc0779f16e4964a36aa8515f6b24ec308b0ff1da,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,17943.317600040493,"Trader Joe","Swap AVAX For Arena",52827424,2024-11-08T22:31:49.000Z
9574,0x22fa3c1e47d8416c611bee2403866f447ba7888566a8824342d13b3d3bab2d7e,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x279B7d51E0348CCf6580190ac64976096a44B274,21531.98072546855,"Trader Joe","Swap AVAX For Arena",52827257,2024-11-08T22:26:07.000Z
9573,0x8db18017f0f0250ea2cb9e625663f7ef8b6793e80746b4670bc7241bf396302e,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x0518bc2784A053156a947823115852C1Bc4c5c85,9359.359888801046,"Trader Joe","Swap Tokens For ARENA",52827075,2024-11-08T22:19:50.000Z
9572,0x3e516d0b7797f9c66bc7ef449cf03e10f87350f9b0a012ae6c8fcd999346e660,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xe5bA3Ff53E72c7d57Ae51bC90eE67f08997DA00A,12586.043248160566,"Trader Joe","Swap Tokens For ARENA",52826832,2024-11-08T22:11:24.000Z
9571,0x4b975a4c871d8249f1914871e84c0ecf3fecdc58bed6b4b2c60d70e0f34ff629,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xd0b6e853A8da741D8D54EFB40FF29ac6f8B1B5c3,36804.396243533716,"Trader Joe","Swap Tokens For ARENA",52826799,2024-11-08T22:10:18.000Z
9570,0xd9729981b1cc9e21828586abcebae9b26d2d2bf7b5ad8e07fbd7c10ec51bd7ca,0xC764a65BeCB19229CE7620d56e7d82152320eFd3,0x21385bC5916ac6d5173E4cfbA867615E85cDd316,57.80038411311144,"Trader Joe","Swap Arena for AVAX",52826791,2024-11-08T22:10:02.000Z
9569,0xabce4c926dcdb5ba18d9ff4d148936c4ba0d149d6378eea8e667bc0adee57d86,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xd0b6e853A8da741D8D54EFB40FF29ac6f8B1B5c3,74293.00094587936,"Trader Joe","Swap Tokens For ARENA",52826756,2024-11-08T22:08:52.000Z
9568,0x476616ecd2ad5e9809a2f4d130e08c1d6b609d0934c71cb2fb0431adaf4bdf6e,0x13b3b2b4e06B025ba702fE7629b7d6F08CFf827d,0x7ed2ac5Ec75f6Ec6e1211217f8C99070cB41D139,1184.3159799871144,"Trader Joe","Swap Tokens For ARENA",52826188,2024-11-08T21:49:14.000Z
9567,0x502dfff8c13aaff69de60d5bde2e4a511233a8f78d6eab060237108340a8b368,0x29FcB3c305cf8490Ac556f59246E17B985b7F8A6,0xC7F1C4EE69225f95A0d309CE44573f8753e25eE2,354.1026608687014,"Trader Joe","Swap Arena for AVAX",52826115,2024-11-08T21:46:40.000Z
9566,0x4a829ee0527ecc012efbf242f322367ed756bac2944adc97499e05d3ed3cb151,0x13b3b2b4e06B025ba702fE7629b7d6F08CFf827d,0xC7F1C4EE69225f95A0d309CE44573f8753e25eE2,19.0575028356868,"Trader Joe","Swap Arena for AVAX",52825775,2024-11-08T21:35:02.000Z
9565,0x2ae89dbafe224f02277826f9ccbe083ae13cb71a56f6d81bfd0c61d80baf6ac4,0xC764a65BeCB19229CE7620d56e7d82152320eFd3,0xbeB6f962A0Cb4b6E97CC268B1d219701daC3a19C,71.82447824765156,"Trader Joe","Swap Arena for AVAX",52825628,2024-11-08T21:29:59.000Z
9564,0x97edf083176e8146a0eaf5dbd332f2438fcec1ce959e0f9ac390861190431d18,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x72399E4ea5a95E347dE24A5e379eB528F9CF0958,17852.703948396593,"Trader Joe","Swap AVAX For Arena",52825604,2024-11-08T21:29:11.000Z
9563,0x83a831263c7dc9f949fa43bcdfc9ebbab84b0c6303e2feb3e09ca89294f15551,0x5FebbCFba96E4c9Ad1155b9313cf99B0bbCbF1A8,0xc010A798F9eED73395A9C72520298ba33a48a2B7,2059.65,"Trader Joe","Swap Arena for AVAX",52825416,2024-11-08T21:22:48.000Z
9562,0xbf8d1c96aa04cf96e649d9a7c95ae345f02a6d7e413ff22b0da72b14dacaabdc,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,28852.854833049427,"Trader Joe","Swap AVAX For Arena",52825355,2024-11-08T21:20:42.000Z
9561,0x4ea4ed706179169a68d7e7be3745586457439197b1da87b9d34429925fef4a48,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xB523DDFC62d4fb7f039fFA12004fCcEE0bCd57e9,14426.427416524713,"Trader Joe","Swap AVAX For Arena",52825336,2024-11-08T21:20:04.000Z
9560,0x75ce9479c954c6ce5a2bc81fa7d925e5fb79f27171f22a8eadc12e1368fbcf8c,0x1692637E65436CC4E8dc5C210257e5400B581b70,0x015B96160687614E76BF038d507DFf2e683C2AC4,25000,"Trader Joe","Swap Arena for AVAX",52825208,2024-11-08T21:15:37.000Z
9559,0xa3dbded90293286b6094e32dd636ab17737ca94348e8b019e74caba0431ffee0,0xa327639F0285a19D872a9b7971cFe2d41505EdB9,0x015B96160687614E76BF038d507DFf2e683C2AC4,50000,"Trader Joe","Add Liquidity",52825190,2024-11-08T21:15:00.000Z
9558,0xfd772c4ea0b5e35e18443e26c31a9f0e11261db0a721e375f94dd260bb7bd549,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,32459.4615359231,"Trader Joe","Swap AVAX For Arena",52825169,2024-11-08T21:14:18.000Z
9557,0x49e0ec6effca2c01d86c598d249a4d0b5cbab44844e1d8e8006f5424563c2068,0x35ae52353575B27A966746fE8678296fF1e4167C,0x015B96160687614E76BF038d507DFf2e683C2AC4,60000,"Trader Joe","Swap ARENA For Tokens",52825145,2024-11-08T21:13:30.000Z
9556,0x8e46c6143be519c38ed4734844d34837219eef6cdd495135dd42e02897507dd1,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,21681.145520602113,"Trader Joe","Swap AVAX For Arena",52825113,2024-11-08T21:12:22.000Z
9555,0xf34ce76d091090f41ae228ea106b7b0a108684f94e6896990f5205bff465fcf9,0x35ae52353575B27A966746fE8678296fF1e4167C,0x015B96160687614E76BF038d507DFf2e683C2AC4,40736.54,"Trader Joe","Swap ARENA For Tokens",52825033,2024-11-08T21:09:42.000Z
9554,0x791825c236e45a4a715aff33cf433e262b871fa90b8788779ed41880636984e6,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x1b067A433Ba5392041143d2acf228278054dd525,187543.53807674264,"Trader Joe","Swap AVAX For Arena",52824955,2024-11-08T21:07:06.000Z
9553,0xc0e30ad6252bd9f42f40e03b930bc2d65b9a733451739feadc8ce28f4c1be1b7,0x1692637E65436CC4E8dc5C210257e5400B581b70,0x015B96160687614E76BF038d507DFf2e683C2AC4,25000,"Trader Joe","Swap Arena for AVAX",52824860,2024-11-08T21:03:55.000Z
9552,0x7d529dbd408b2a066e4ef379405864690706586bf08b20de28533134050d62a8,0x6902D1B4b5f1f7E5f63331C68F76c5Efff45e89B,0x015B96160687614E76BF038d507DFf2e683C2AC4,100000,"Trader Joe","Add Liquidity",52824805,2024-11-08T21:02:01.000Z
9551,0xfeefacb4a2213b7c1f182edaa051ef1a74bbc01a2c39a710a7b3d8454961f0b9,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x18556DA13313f3532c54711497A8FedAC273220E,17106.109188499744,"Trader Joe","Remove Liquidity",52824789,2024-11-08T21:01:32.000Z
9550,0x4e922f5bba8c2ed54e8a71e0bd07883947ef515f83c400f44e33d616604ead1b,0xC764a65BeCB19229CE7620d56e7d82152320eFd3,0x5B8cD253a4913A8A9C6A389602D938CEB4DfDF0d,141.15990437531073,"Trader Joe","Swap AVAX For Arena",52824786,2024-11-08T21:01:26.000Z
9549,0x330e860d9bd6dfe3891e7a86d7b1b3b8fd42f380804ca0c14c46eadd52a4a9c7,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,21720.372540039258,"Trader Joe","Swap AVAX For Arena",52824686,2024-11-08T20:58:02.000Z
9548,0x58f344802e170209a83ae83bf8b639035a0135b876cb72b025e1c2c8e67e2d36,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xc7087EB4a8561dA8c9AdAfB2c2dcb1f94B6b2C6F,32459.410038204896,"Trader Joe","Swap AVAX For Arena",52824573,2024-11-08T20:54:13.000Z
